coding	character	evidence	use_r5	use_r6	branch_lengths	n_absent	model	fitted	n_params	rate	rate_gain	loglik	aic	profile_shape	profile_argmax	reason	first_seen_note
paralog	ITPR2	recon_half	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	1	0	unit	1	ER	1	1	0.00130855	0.00130855	-7.64	17.28				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	1	0	unit	1	ARD	1	2	0.00649841	1.96763	-6.717	17.434				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	1	0	unit	1	irreversible	1	1	0.00130719	0	-6.9467	15.8935				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	1	0	unit	1	ER	1	1	0.00130514	0.00130514	-7.6426	17.2852				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	1	0	unit	1	ARD	1	2	0.00597402	1.81964	-6.7236	17.4472				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	1	0	unit	1	irreversible	1	1	0.00130208	0	-6.9506	15.9013				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	1	0	unit	1	ER	1	1	0.00130685	0.00130685	-7.6413	17.2826				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	1	0	unit	1	ARD	1	2	0.0037822	1.12809	-6.7205	17.441				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	1	0	unit	1	irreversible	1	1	0.00130208	0	-6.9506	15.9013				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	0	1	unit	2	ER	1	1	0.0013026	0.0013026	-7.6446	17.2891				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	0	1	unit	2	ARD	1	2	0.00124268	0.01792	-7.08	18.16				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	0	1	unit	2	irreversible	1	1	0.00130968	0	-7.6379	17.2759				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	0	1	unit	2	ER	1	1	0.0013026	0.0013026	-7.6446	17.2891				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	0	1	unit	2	ARD	1	2	0.00124272	0.0179233	-7.08	18.16				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	0	1	unit	2	irreversible	1	1	0.00130968	0	-7.6379	17.2759				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	0	0	unit	6	ER	1	1	0.00784238	0.00784238	-31.6665	65.3329				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	0	0	unit	6	ARD	1	2	0.0116362	0.887731	-28.515	61.03				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_half	0	0	unit	6	irreversible	1	1	0.00779237	0	-30.9688	63.9377				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	0	0	unit	4	ER	1	1	0.00390841	0.00390841	-18.2582	38.5164				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	0	0	unit	4	ARD	1	2	0.00388753	0.0326094	-17.7716	39.5432				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_half	0	0	unit	4	irreversible	1	1	0.00391832	0	-18.2397	38.4794				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	0	0	unit	4	ER	1	1	0.003911	0.003911	-18.2562	38.5124				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	0	0	unit	4	ARD	1	2	0.00390767	0.0354284	-17.7554	39.5108				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_half	0	0	unit	4	irreversible	1	1	0.00391832	0	-18.2397	38.4794				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	1	1	unit	1	ER	1	1	0.00132418	0.00132418	-7.6282	17.2563				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	1	1	unit	1	ARD	1	2	0.00259266	0.68679	-6.6884	17.3769				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	1	1	unit	1	irreversible	1	1	0.00131926	0	-6.9375	15.8751				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	1	0	unit	7	ER	1	1	0.00931775	0.00931775	-35.6315	73.2629				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	1	0	unit	7	ARD	1	2	0.0146155	0.64891	-33.0149	70.0297				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	1	0	unit	7	irreversible	1	1	0.00922292	0	-34.9505	71.901				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	1	0	unit	6	ER	1	1	0.00795189	0.00795189	-31.584	65.168				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	1	0	unit	6	ARD	1	2	0.0354508	1.76978	-29.5441	63.0881				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	1	0	unit	6	irreversible	1	1	0.00786386	0	-30.914	63.8281				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	1	0	unit	7	ER	1	1	0.00934278	0.00934278	-35.6129	73.2258				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	1	0	unit	7	ARD	1	2	0.0383277	1.62872	-33.3543	70.7087				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	1	0	unit	7	irreversible	1	1	0.00921079	0	-34.9597	71.9195				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	0	1	unit	3	ER	1	1	0.00264247	0.00264247	-13.1837	28.3675				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	0	1	unit	3	ARD	1	2	0.00260918	0.029642	-12.6483	29.2967				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	0	1	unit	3	irreversible	1	1	0.00265044	0	-13.1728	28.3456				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	0	1	unit	2	ER	1	1	0.00132682	0.00132682	-7.6262	17.2524				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	0	1	unit	2	ARD	1	2	0.00126553	0.0180958	-7.0626	18.1252				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	0	1	unit	2	irreversible	1	1	0.00133414	0	-7.6194	17.2389				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	0	0	unit	12	ER	1	1	0.0159655	0.0159655	-53.7944	109.589				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	0	0	unit	12	ARD	1	2	0.0126457	0.686085	-44.2689	92.5378				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	recon_strict	0	0	unit	12	irreversible	1	1	0.0157081	0	-53.5257	109.051				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	0	0	unit	9	ER	1	1	0.0105844	0.0105844	-39.6128	81.2255				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	0	0	unit	9	ARD	1	2	0.0112567	0.0887197	-39.1287	82.2573				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	recon_strict	0	0	unit	9	irreversible	1	1	0.0105148	0	-39.586	81.172				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	0	0	unit	11	ER	1	1	0.0133142	0.0133142	-47.0739	96.1478				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	0	0	unit	11	ARD	1	2	0.0177938	0.346414	-46.1448	96.2896				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	recon_strict	0	0	unit	11	irreversible	1	1	0.013177	0	-47.0519	96.1039				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	1	1	unit	1	ER	1	1	0.00135653	0.00135653	-7.6041	17.2081				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	1	1	unit	1	ARD	1	2	0.0027136	0.704106	-6.6598	17.3196				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	1	1	unit	1	irreversible	1	1	0.00135135	0	-6.9135	15.827				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	1	0	unit	12	ER	1	1	0.0162176	0.0162176	-53.6094	109.219				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	1	0	unit	12	ARD	1	2	0.0165245	0.566779	-47.9503	99.9007				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	1	0	unit	12	irreversible	1	1	0.0159165	0	-53.3676	108.735				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	1	0	unit	14	ER	1	1	0.0190516	0.0190516	-60.6877	123.375				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	1	0	unit	14	ARD	1	2	0.0390602	0.833603	-56.7376	117.475				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	1	0	unit	14	irreversible	1	1	0.0185944	0	-60.0852	122.171				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	1	0	unit	8	ER	1	1	0.0107041	0.0107041	-39.5234	81.0469				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	1	0	unit	8	ARD	1	2	0.0433157	1.60452	-37.0374	78.0748				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	1	0	unit	8	irreversible	1	1	0.0105406	0	-38.8752	79.7503				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	0	1	unit	3	ER	1	1	0.00270691	0.00270691	-13.1357	28.2714				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	0	1	unit	3	ARD	1	2	0.00267311	0.0300429	-12.6018	29.2036				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	0	1	unit	3	irreversible	1	1	0.0027152	0	-13.1245	28.249				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	0	1	unit	2	ER	1	1	0.00133035	0.00133035	-7.6235	17.247				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	0	1	unit	2	ARD	1	2	0.00126882	0.0181182	-7.0601	18.1202				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	0	1	unit	2	irreversible	1	1	0.00133771	0	-7.6168	17.2335				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	0	0	unit	17	ER	1	1	0.0201926	0.0201926	-64.8111	131.622				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	0	0	unit	17	ARD	1	2	0.0070661	0.58858	-55.4883	114.977				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	no_recon	0	0	unit	17	irreversible	1	1	0.0224016	0	-69.7945	141.589				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	0	0	unit	18	ER	1	1	0.0230986	0.0230986	-70.337	142.674				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	0	0	unit	18	ARD	1	2	0.0335703	0.557141	-67.1956	138.391				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	no_recon	0	0	unit	18	irreversible	1	1	0.0226037	0	-70.3273	142.655				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	0	0	unit	12	ER	1	1	0.0146828	0.0146828	-50.6501	103.3				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	0	0	unit	12	ARD	1	2	0.0205533	0.385507	-49.6559	103.312				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	no_recon	0	0	unit	12	irreversible	1	1	0.0145132	0	-50.6252	103.25				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	1	1	unit	1	ER	1	1	0.001379	0.001379	-7.5877	17.1753				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	1	1	unit	1	ARD	1	2	0.0027895	0.712366	-6.6403	17.2806				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	1	1	unit	1	irreversible	1	1	0.00137363	0	-6.8972	15.7943				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	1	0	unit	19	ER	1	1	0.0264116	0.0264116	-76.048	154.096				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	1	0	unit	19	ARD	1	2	0.0318702	0.645695	-70.2892	144.578				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	1	0	unit	19	irreversible	1	1	0.0254747	0	-75.5636	153.127				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	1	0	unit	8	ER	1	1	0.0107331	0.0107331	-39.5021	81.0042				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	1	0	unit	8	ARD	1	2	0.043459	1.60439	-37.0107	78.0215				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	1	0	unit	8	irreversible	1	1	0.0105684	0	-38.854	79.7081				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	0	1	unit	3	ER	1	1	0.00275171	0.00275171	-13.103	28.206				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	0	1	unit	3	ARD	1	2	0.00271802	0.0303587	-12.57	29.1399				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	0	1	unit	3	irreversible	1	1	0.00276016	0	-13.0917	28.1833				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	0	1	unit	3	ER	1	1	0.00266898	0.00266898	-13.1638	28.3277				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	0	1	unit	3	ARD	1	2	0.00262465	0.0276852	-12.6406	29.2812				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	0	1	unit	3	irreversible	1	1	0.00267883	0	-13.1515	28.303				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	0	0	unit	24	ER	1	1	0.0319299	0.0319299	-87.6772	177.354				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	0	0	unit	24	ARD	1	2	0.0422838	0.617695	-83.0695	170.139				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	locus_only	0	0	unit	24	irreversible	1	1	0.0308228	0	-87.7693	177.539				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	0	0	unit	13	ER	1	1	0.0160704	0.0160704	-54.1244	110.249				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	0	0	unit	13	ARD	1	2	0.023377	0.417912	-52.9639	109.928				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	locus_only	0	0	unit	13	irreversible	1	1	0.0158529	0	-54.1047	110.209				one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	full_locus_only	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	full_locus_only	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	full_locus_only	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	full_locus_only	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	full_locus_only	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	full_locus_only	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	full_locus_only	1	1	unit	1	ER	1	1	0.00151877	0.00151877	-7.0858	16.1717				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	full_locus_only	1	1	unit	1	ARD	1	2	0.00179851	0.183016	-6.395	16.79				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	full_locus_only	1	1	unit	1	irreversible	1	1	0.00151401	0	-6.3944	14.7888				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	full_locus_only	1	1	unit	0	ER	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	full_locus_only	1	1	unit	0	ARD	0	2					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06); the gain rate is monotone increasing to the grid's own edge, so the pair is not identified	one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	full_locus_only	1	1	unit	0	irreversible	0	1					monotone decreasing	1e-06	the character is invariant, so there is no transition to estimate; the likelihood is monotone decreasing in the loss rate and its maximum is at the boundary (1e-06)	one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	full_locus_only	1	0	unit	1	ER	1	1	0.00129333	0.00129333	-7.6517	17.3034				one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	full_locus_only	1	0	unit	1	ARD	1	2	0.0025137	0.681001	-6.7137	17.4274				one row per distinct character; the fits are memoised on the character vector
family	ITPR_family	full_locus_only	1	0	unit	1	irreversible	1	1	0.00129032	0	-6.9597	15.9194				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	full_locus_only	1	0	unit	20	ER	1	1	0.0284286	0.0284286	-74.5735	151.147				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	full_locus_only	1	0	unit	20	ARD	1	2	0.020478	0.532238	-66.5511	137.102				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR1	full_locus_only	1	0	unit	20	irreversible	1	1	0.0286411	0	-76.7927	155.585				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	full_locus_only	1	0	unit	28	ER	1	1	0.038977	0.038977	-92.4924	186.985				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	full_locus_only	1	0	unit	28	ARD	1	2	0.0223631	0.53129	-85.5288	175.058				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR2	full_locus_only	1	0	unit	28	irreversible	1	1	0.0371213	0	-92.039	186.078				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	full_locus_only	1	0	unit	13	ER	1	1	0.0189662	0.0189662	-56.4625	114.925				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	full_locus_only	1	0	unit	13	ARD	1	2	0.0533278	1.09355	-52.7289	109.458				one row per distinct character; the fits are memoised on the character vector
paralog	ITPR3	full_locus_only	1	0	unit	13	irreversible	1	1	0.0183896	0	-55.9374	113.875				one row per distinct character; the fits are memoised on the character vector
