results_entry	files	paper	rule	what	nearest_paper	why_not_there	thesis_chapter	thesis_paper	departure
results/methods	kill_criterion_*	range	P5s	S19: D10's kill criterion scored as a classifier	retention	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	drift_*	range	P5s	S19: the drift outcome measured on the finished models	retention	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	iteration_yield.tsv	range	P5s	S19: what each jackhmmer round added	retention	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	seed_effect.tsv	range	P5s	S19: the effect of the jackhmmer seed	retention	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	figures/fig_s19_drift.*	range	P5s	S19: the drift figure	retention	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	reconciliation_loss_audit.tsv	origin	P5s	S19: where the reconciliation's loss inference ran out	retention	P2: the limit of the origin paper's own dating	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	synteny_power.tsv	origin	P5s	S19: synteny reach against synteny accuracy	retention	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	tree_resolution.tsv	origin	P5s	S19: the size of the AU test's confidence set	range	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	inference_summary.json	origin	P5s	S19: the inference-limit summary	constraint	P2: three of its five limits are the origin paper's	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	contiguity_*	retention	P5s	S19: the ledger's false-negative rate against contiguity	archive	P2: a retention count is only a measurement beside its miss rate	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	absence_floor.tsv	retention	P5s	S19: the contiguity floor calibration	archive	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	floor_clade_composition.tsv	retention	P5s	S19: what each floor costs, by clade	archive	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	residual_neighbourhood.tsv	retention	P5s	S19: misses whose whole region is gone	archive	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	panel_*	retention	P5s	S19: the exact bait-panel ablation	range	P2: the panel is the retention sweep's instrument	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	figures/fig_s19_contiguity.*	retention	P5s	S19: the contiguity figure	archive	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	figures/fig_s19_panel.*	retention	P5s	S19: the panel ablation figure	range	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	methods_stats.json	retention	P5s	S19: the task's stats record	archive	P5s: the record goes with the half the thesis kept it beside	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	report.md	retention	P5s	S19: the task's rendered report	archive	P5s	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	census_growth.tsv	archive	P5s	S19: what each search channel added to the census	range	P1: the question is what a database-only search would have missed	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	method_*	archive	P5s	S19: channel sets, pairwise overlap and cost	range	P1	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	head_to_head.tsv	archive	P5s	S19: the sweep against the database records	range	P1	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	gene_recovery*.tsv	archive	P5s	S19: per-gene recovery by channel, cell and scope	retention	P1	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	db_status_combined.tsv	archive	P5s	S19: how databases hold every demonstrated gene	retention	P1	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	contribution_summary.json	archive	P5s	S19: the contribution summary	range	P1	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	figures/fig_s19_contribution.*	archive	P5s	S19: the contribution figure	range	P1	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	codon_model_power.tsv	constraint	P5s	S19: the power of the codon models	origin	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/methods	saturation.tsv	constraint	P5s	S19: pairwise synonymous saturation	origin	P2	4	retention	The thesis keeps S19 whole in Chapter 4 beside the search it measures (T4). Here P2 forces a split: the false-negative rate is the retention paper's central control, the drift audit is the range paper's, the channel contribution is the archive paper's result, and the inference limits bound the origin and constraint papers' own claims. This is the departure the thesis's Appendix E.2 predicted.
results/msa_v2	*	origin	P1	S6: the representative alignment and its identity matrices	range	P1: it is built to place the paralogues, not to find them	6	origin	
results/phylogeny	*	origin	P1	S7: the ML tree and the AU test of the three sister hypotheses	range	P1	6	origin	
results/reconciliation	*	origin	P1	S13: gene-tree/species-tree reconciliation, dated duplications	retention	P1: its loss audit is a step in dating, not a count	7	origin	
results/s0_baseline	*	-	excluded	S0: the literature baseline and the reference table every paper resolves its citations against	-	an input all six papers read and none claims as a result	2	-	
results/s20_sweep	*	range	P1	S20: the non-vertebrate proteome sweep, 6,928 reference proteomes	archive	P1	5	range	
results/s23_baits	*	range	P2	S23: the non-vertebrate bait panel and its per-clade controls	retention	P2: the MIR-sharer control is what makes an absence a measurement	5	range	
results/s23_scope	*	range	P1	S23: the 194-genome non-vertebrate sweep and the controlled absences	archive	P1	5	range	
results/s5_baits	*	retention	P2	S5: the 38-bait panel with the RyR presence control	range	P2: the RyR control is what makes a missing cell searchable	4	retention	
results/selection	*	constraint	P1	S9: codon models across the vertebrate family	origin	P1: its result is purifying selection, not the duplication's timing	10	constraint	
results/session_live.json	*	-	excluded	the dashboard's progress panel	-	session state		-	
results/structures	*	range	P2	S11: the fold of what the census calls an IP3 receptor, against the cryo-EM IP3R and RyR references, and AlphaFold DB coverage	constraint	P2: a structural family call is a third, independent control of the call the range paper makes	11	constraint	The thesis places S11 with the channel. In the series its load-bearing result is the structural family call, a third instrument confirming the range paper's ITPR/RyR separation; the constraint paper paints S17's own tables and does not need it.
results/supplementary	figures/SuppFig1_*	origin	P5s	S24: the representative alignment and the columns the tree saw	constraint	P5: it draws msa_v2, which is primary here	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	figures/SuppFig3_*	constraint	P5s	S24: the within-paralogue alignments	ligand	P5	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	figures/SuppFig4_*	constraint	P5s	S24: the trimmed codon alignment	origin	P5	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	figures/SuppFig5_*	constraint	P5s	S24: the constraint map painted on the channel	ligand	P5	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	figures/SuppFig6_*	constraint	P5s	S24: every labelled variant on the structure	ligand	P5	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	figures/SuppFig2_*	ligand	P5s	S24: the ligand core and the pore at residue resolution	constraint	P5	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	figure_*	-	excluded	S24: the audit of the single manuscript's figures	-	each paper builds its own figure audit	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	supp*	-	excluded	S24: the manuscript's supplementary-figure record	-	each paper records its own figure manifest	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/supplementary	report.md	-	excluded	S24: the rendered report of the manuscript's figure audit	-	each paper builds its own figure audit	14	-	The thesis places S24 with its methods chapter. Each supplementary figure draws one paper's data, so P5 sends each to that paper and the manuscript's own figure audit is excluded.
results/synteny	*	origin	P1	S8: flanking-gene neighbourhoods and the consensus paralog caller	retention	P1: its caller is cited by retention, but its result is the paralogon	7	origin	
results/toolchain_manifest.txt	*	-	excluded	S1: the tool versions every task shells out to	-	deposited with every paper; not a result	14	-	
